location,day,time,title,presenter,description,field
Creator Stage 5,Friday,12:00 PM,Aerospace Cybersecurity Student Research Spotlight: ERAU,Sean McConoughey; Samuil Nikolov,"At the Aerospace Village, we strive to Build, Promote, and Inspire our next generation of Aerospace Cybersecurity professionals. To meet this vision, we are proud to sponsor these student research presentations from Embry-Riddle Aeronautical University (ERAU).",Aerospace & Satellite Security
Creator Stage 6,Friday,12:00 PM,"Write Once, Shell Everywhere: Turning Arbitrary File Writes into RCE",Bruno Mendes; Rafael Castilho Silva,"Arbitrary file write bugs are often treated as ""almost critical"" findings: interesting, dangerous, but most times it's hard to prove impact when the target does not let you write a web shell to an obvious location or overwrite some magic configuration file to achieve code execution. This talk is about closing that gap...",Bug Bounty / Vulnerability Research
Creator Stage 7,Friday,12:00 PM,From Disk Image to ATT&CK in One Binary - a Reference Architecture for Modern Incident Response (in Rust),"HUI Kwun Tai, Albert (4n6h4x0r)","A Reference Architecture for Modern Incident Response (in Rust) Incident response still runs on a toolbox: a dozen single-purpose parsers, a pile of CSVs, a timeline stitched together by hand, and a senior analyst's memory holding it all together. Every engagement re-solves the same plumbing.",Forensics & Incident Response
Main Track 1,Friday,12:00 PM,Your Packets Are Showing: Hybrid Quantum ML for Passive OS Fingerprinting,Daniel Justice; Jae Sung Kim; La Alsulaim; Shreya G Savadatti,"Quantum cybersecurity isn't just Q-Day. We took passive OS fingerprinting, the technique behind p0f and every modern ML-based fingerprinting tool, and mapped it onto a 20-qubit quantum circuit, replacing XGBoost as the classifier inside an ""OsirisML""-style pipeline.",Network Security
Main Track 3,Friday,12:00 PM,Can AI do novel security research? Meet the HTTP Terminator,"James ""albinowax"" Kettle","We all know AI can find bugs. After a decade of research, I asked a harder question: can an autonomous system invent new attack techniques, and use them to hack live websites at scale?",AI/ML Security
Main Track 5,Friday,12:00 PM,"Shopping Is The Attack: A Decade Of E-Commerce Scalper Wars, And The Multi-Agent AI Era","Yaniv ""PSYMAG"" Menasherov","Examines the decade-long arms race between e-commerce sneaker/retail scalper bots and defenders, and how multi-agent AI is reshaping automated shopping abuse.",Web/Application Security
Creator Stage 2,Friday,12:15 PM,"Maritime Hacking Village Policy Panel: Shadow Fleets, Cyber Effects, and Plausible Deniability","RADM John Mauger, USCG (ret.); Michael Sulmeyer","Grey zone competition is no longer confined to cyber networks, nor is maritime disruption limited to traditional naval activity. Shadow fleets, spoofed identities, opaque ownership structures, sanctions evasion, cable ""accidents,"" and cyber-enabled interference are increasingly overlapping in ways that complicate...",Maritime Security
Creator Stage 1,Friday,12:30 PM,DC101,"Nikita Kronenberg; Michael ""sparky"" Moore; polybius","Orientation session covering DEF CON logistics, etiquette, and how new attendees can get the most out of the conference.",Community/Keynote
Creator Stage 3,Friday,12:30 PM,Dr. Strangepwn: How I Learned to Stop Worrying and Love the LLM,Larry Pesce,An AI agent found a previously undisclosed vulnerability in a named vendor's IoT product within hours of being pointed at the firmware. The practitioner who built the agent had spent 25+ years doing that work by hand.,IoT Security
Creator Stage 4,Friday,12:30 PM,Introduction to RFID,Ege Feyzioglu; Karen Ng,"You know the sound of beep ... Click when using a badge to enter a door to a building, but how does this work and how can you exploit issues with RFID systems?",Physical Security
Creator Stage 6,Friday,12:30 PM,Beyond Theoretical Risk: How Cache Poisoning Escalated to Critical Account Takeover in TikTok's Web Infrastructure,Glendon Chong,"Web cache poisoning is often written off as a class of vulnerabilities with limited real-world impact. Most reported instances only expose non-sensitive user metadata, cause temporary, minor disruptions to static content, or require such narrow, impractical conditions to exploit that they rarely move beyond...",Bug Bounty / Vulnerability Research
Main Track 1,Friday,12:30 PM,Fireside Chat with Gen. Paul Nakasone,"Paul Nakasone; Jeff ""The Dark Tangent"" Moss",A fireside conversation between former NSA/USCYBERCOM commander Gen. Paul Nakasone and Jeff Moss.,Community/Keynote
Main Track 2,Friday,12:30 PM,BTR Reforged: Weaponizing Defender's Remediation Driver as a Kernel Operation Primitive,Jiří Vinopal,"What if a trusted security component could be repurposed into an attacker-controlled kernel primitive? What if a signed Microsoft remediation driver could be instructed to execute arbitrary file and registry operations from Ring 0 - without exploits, vulnerabilities, or memory corruption?",Red Team / Adversary Emulation
Main Track 4,Friday,12:30 PM,Patch Gap to Mobile Renderer RCE: Pwning Samsung Internet's V8 on the Galaxy S25,Hrvoje Mišetić; Jamie Hill-Daniel; William Liu,"What happens when a flagship phone like the Samsung Galaxy S25 ships with an outdated Javascript engine in its default browser? For the past 6 months, Samsung Internet shipped with an out-of-date V8 build that had already-fixed, publicly known vulnerabilities.",Mobile Security
Main Track 5,Friday,12:30 PM,Hacking the Government: How Two Researchers Turned Late-Night Boredom Into a National Audit,"Robert ""ProXy"" Kruczek; Kamil Szczurowski",What happens when two researchers spend several days scrutinizing the Polish web? We didn't just find anomalies-we took action.,Web/Application Security
Creator Stage 5,Friday,12:45 PM,Aerospace Cybersecurity Student Research Spotlight: Cal Poly,Clara Davis; Dylan Gururajan,"At the Aerospace Village, we strive to Build, Promote, and Inspire our next generation of Aerospace Cybersecurity professionals. To meet this vision, we are proud to sponsor these student research presentations from Cal Poly.",Aerospace & Satellite Security
Creator Stage 1,Friday,1:00 PM,Connectivity as Control in the European High North,Szymon Skalski; Patricia Vargas Leon; Jorge Acevedo Canabal,"Between 2022 and 2024, the European High North saw three events at three attribution confidence levels. One segment of Svalbard's twin fibre system failed-Norwegian police closed the case with no state-actor finding.",Privacy & Policy
Creator Stage 2,Friday,1:00 PM,OSINT Is Still a Thinking Game: Surviving AI Without Losing Tradecraft,Nico Dekens,The OSINT landscape is undergoing a fundamental shift. Artificial Intelligence is no longer just a tool; it is becoming a crutch.,OSINT
Creator Stage 4,Friday,1:00 PM,"Trust the Basics, But Know Their Limits: Where Standard Cybersecurity Advice Falls Short",Yael Grauer,"Those cybersecurity tips you've heard over and over again are still our best defense against attackers, but following them doesn't actually protect you from everything. In 2026, we know that freezing your credit won't protect you from most scams, and that even the strongest password manager can't save a compromised...",Privacy & Policy
Creator Stage 6,Friday,1:00 PM,Running your own LTE network for fun and profit????,Lozaning,"Running your own LTE network for fun and profit This presentation will cover the journey from zero to dial tone on an fully legal OTA LTE network. We'll cover the equipment (both enodeB, user equipment, and sim cards), software stack (LTE Core, VoLTE services, e-sims), licensing and permitting requirements, how to...",RF & Wireless Security
Creator Stage 7,Friday,1:00 PM,The Cum-Stained Precipice of Digital Redlining,Erica Rachel Andrews; Abbie Gonzalez (pronounced AB),"The web was supposed to democratize information. Instead, we have a two-tier reality: one class consuming porn on $2,000 laptops they'll discard in eighteen months, another class without a screen.",Privacy & Policy
Main Track 3,Friday,1:00 PM,Bring-Your-Own-EDR - Breaking Windows Process Protection to build EDR-Protected Malware,Shahak Morag,"The core assumption of modern endpoint defense is broken. While Endpoint Detection and Response (EDR) solutions are built to restrict administrators through Protected Process Light (PPL) and anti-tampering, this research reveals an industry-wide design flaw: the ""Bring-Your-Own-EDR"" (BYOEDR) technique.",Red Team / Adversary Emulation
Main Track 5,Friday,1:00 PM,LGTM: Bypassing an LLM Build Gate When Prompt Injection Fails,Aviv Donenfeld,"Models are starting to make security decisions that used to be written as rules. Instead of matching an input against a policy, a model reads the request and decides what to do with it.",AI/ML Security
Creator Stage 3,Friday,1:15 PM,"From threat-intel to tested defense, the adversary simulation playbook",Cheryl Biswas; Adam Pennington; Olaf Hartong; Sarah Hume,Knowing who is coming for you is only half the fight. The real work is turning that knowledge into defenses that actually works.,Blue Team / Detection Engineering
Creator Stage 4,Friday,1:30 PM,It's a Payment Terminal. It's My Arcade. It's Everywhere. It Cost Me Nine Bucks.,"Chiao-Lin Yu ""Steven Meow""",Teardown of a cheap payment terminal showing how a nine-dollar device with hardware signing and kernel verification can still be turned into a hackable arcade platform.,Payment Security
Creator Stage 5,Friday,1:30 PM,Hacking Airplanes at the NTSB,David Case; Jonathan Xue,"NTSB Vehicle Recorder Specialists Jonathan Xue and David Case will give a talk on decoding data recovered from several aircraft accidents, and a tourist submarine raised from the depths of the North Atlantic. The NTSB's process for getting data out of broken and damaged equipment will be shown, including searching...",Forensics & Incident Response
Creator Stage 7,Friday,1:30 PM,Classical OSINT using AI (Actual Intelligence),Bianca C. Ionescu/reconcerto,"AI this, AI that, and of course even in the world of OSINT AI has been getting integrated. But this talk focuses on a different AI: Actual Intelligence.",OSINT
Main Track 1,Friday,1:30 PM,The Defender's Dilemma: Releasing Dual-Use AI Models as Capabilities Climb,Emanuel Gawrieh; Jason Clinton; Bruce Schneier; Heather Adkins,"Defenders and attackers are locked in a renewed race where AI has enabled new defenses and new attacks. AI models are gaining capability at a remarkable pace, and dual-use systems, powerful for defenders and adversaries alike in domains like cybersecurity, bring that trajectory into sharp focus.",AI/ML Security
Main Track 2,Friday,1:30 PM,Breaking into Amazon lockers by any means necessary,Martin Vigo,"Amazon Lockers are everywhere, handling millions of packages every day. At the same time, thousands of packages get stolen from home porches every year, which made me wonder if the same thing could happen with Amazon Lockers.",Hardware & Embedded Security
Main Track 4,Friday,1:30 PM,Plug And Pwn: Weaponizing Windows PnP Auto-Install,"Alejandro ""0xedh"" Hernando; Borja ""borjmz"" Martinez","Every time a USB device is plugged into a Windows machine, the OS may silently download a package from Microsoft and execute vendor code as SYSTEM. No admin required.",Exploit Development
Creator Stage 2,Friday,1:45 PM,"Drag, Drop, Deploy, Compromise: Why Trusted HMI Engineering Toolchains Remain an ICS Supply-Chain Blind Spot",Jiwoon Yoo; TaeWoo Kim; Eunji choi,"HMI engineering tools are trusted gateways into industrial environments. Engineers use these tools to design screens, configure tags, connect to controllers, and deploy projects to real-world sites.",ICS/OT Security
Creator Stage 1,Friday,2:00 PM,The Liability Stack: When Code Becomes Conduct,Carole House,"The legal question of when publishing code creates responsibility for downstream harm has never been fully settled, but the practical separation between writing code and being treated as responsible for its downstream use is breaking down across AI, crypto, cybersecurity, and platform law. Courts and regulators are...",Privacy & Policy
Creator Stage 3,Friday,2:00 PM,6 years of Adversary Village! Keeping up with the adversaries and why it takes a village,"Abhijith ""Abx"" B R; Bryson Bort; Anant Shrivastava","Six years ago, Adversary Village started as a simple idea, give the people who study adversaries and adversarial tradecraft a place to call home. What grew out of it was something bigger than any of us expected.",Community/Keynote
Creator Stage 4,Friday,2:00 PM,Inside the Guts of Ransomware,Ashley Hiram Muñoz,"Have you ever wondered how malware analysts identify different encryption algorithms in ransomware samples? In this session, I'll explain the design of some algorithms (such as AES, RSA, ChaCha20, etc.) and show you how to identify them using reverse engineering and debugging techniques, and by using ransomware demos...",Malware & Threat Intelligence
Creator Stage 5,Friday,2:00 PM,Cryptohack Badge Hacking,"Do Truong Giang ""FSNaix""; Sadiq ""Sdqmd""; Arjun ""Peper"" Suresh","In this hour, we'll guide you from setup to exploitation of a Cryptohack electronic badge. From installing the ESP-IDF toolchain, understanding application logic, compiling and disassembling firmware, we get familiar with the basics before considering the advanced aspects of financial technology in hardware.",Blockchain/Cryptocurrency
Creator Stage 6,Friday,2:00 PM,AI Nightmare: Hacking at 0-Hour,"Pedro ""drop"" Paniago","Walks through applying AI to a bug bounty methodology, detailing the strategies and findings that resulted from the experiment.",Bug Bounty / Vulnerability Research
Main Track 3,Friday,2:00 PM,Lessons from a decade of building whistleblower tech,Trevor Timm; redshiftzero,"Internet pioneer Aaron Swartz's last project was SecureDrop, a whistleblower submission system that can be used by news outlets and whistleblowers to communicate safely online. At the time of Aaron's tragic death, SecureDrop was just a prototype, but it's now run by Freedom of the Press Foundation and used by dozens...",Privacy & Policy
Main Track 5,Friday,2:00 PM,8 Out of 10 Banks in Belgium HATE This One Weird eID RCE,"James ""Acorn221"" Arnott","A major signing extension which has over 2 million users, primarily in Belgium, and lets websites interact with electronic ID (eID) and Maestro payment cards. It's used by ""8 of the 10 largest banks in Belgium and 60+ Belgian government agencies and departments"", and it facilitates eIDAS signatures, a...",Exploit Development
Creator Stage 2,Friday,2:15 PM,Scuttling Dashboards,Karan Sajnani,"The goldrush for maritime digitalization is riddled with safety concerns. Dashboards in the cloud stream vessel telemetry to shore-side consumers, and control planes from the cloud convey shore-side commands to shipboard IoT and OT systems.",Maritime Security
Creator Stage 1,Friday,2:30 PM,ICSForge: (Open-Source) OT/ICS Security Coverage Validation Platform,Can Kurnaz,"ICSForge is an open-source OT/ICS Security Coverage Validation Platform designed to help defenders, SOC teams, and OT security engineers validate detection, visibility, and readiness against real-world industrial attack techniques. ICSForge is built to tackle a critical gap in OT/ICS security.",ICS/OT Security
Creator Stage 4,Friday,2:30 PM,Wiring the Harness: Orchestrating Frontier Models for Vulnerability Hunting at Scale,Tony Martin; Arie Haenel,"While frontier models are powerful, simply asking one to ""find vulnerabilities"" is far less effective than pairing with a well-designed harness, a gap that widens further down the stack and peaks at embedded firmware. During Project Glasswing, Intel scanned hundreds of repositories, from firmware to containers.",AI/ML Security
Creator Stage 6,Friday,2:30 PM,You're Probably Using FPE Wrong,Leslie Gutschow,"Format-preserving encryption is widely deployed and widely misunderstood. It appears in PCI environments, GDPR compliance architectures, banking systems, payment platforms, and legacy applications where changing the data format is not an option.",Cryptography & Privacy
Creator Stage 7,Friday,2:30 PM,Defend zee clankers: OWASP AI Security Verification Standard (AISVS),Jim Manico,"AI systems face threats that traditional application security standards weren't built to address. This includes prompt injection, training data poisoning, model extraction, agentic autonomy risks, and more.",AI/ML Security
Main Track 2,Friday,2:30 PM,"WASM Was Not the Boundary: Sandcastles, Not Sandboxes","Saar Pearl; Vladimir ""G1ND1L4"" Tokarev","Pyodide is often treated as a ready-made sandbox: block os, block js, and untrusted Python is assumed to stay inside WebAssembly. In n8n and the other products we tested, that assumption failed.",Web/Application Security
Main Track 4,Friday,2:30 PM,Lowering the Orbit: Exploiting Satellite Protocols and communications via Software-Defined-Radio and GS,"Romel ""r0r0x"" Marin","The ""Security by Obscurity"" era in satellite communications is over, but the industry hasn't received the memo. As we shift toward COTS hardware and standardized protocols like CCSDS and Space Packet Protocol (SPP), a massive attack surface has emerged, stretching from ground stations to the satellite.",Aerospace & Satellite Security
Creator Stage 2,Friday,2:45 PM,Your Lives are in Another Struct: Breaking Memory Hacks with Field Relocation,Ryan Zmuda,"This talk introduces a compile time anti-cheat for Unity that leverages data-oriented properties of the Unity DOTS stack to move attacker targeted data across struct boundaries. Through static lifetime analysis and eligibility proofs, HP, Score, Lives, and more can be scrambled across a game at build-time, deeply...",Game Hacking
Creator Stage 3,Friday,2:45 PM,SEND: Teaching Machines to Lie to Defenders,Yi Ting Shen; Ariz Soriano,"Cyber deception research has spent decades placing honeypots, honeyfiles, and fake credentials in enterprise environments to catch attackers. Yet practitioners in real Security Operations Centers do not investigate individual artifacts in isolation - they construct causal narratives to explain sequences of events,...",Blue Team / Detection Engineering
Creator Stage 1,Friday,3:00 PM,OT Segmentation Under Operational Constraints,Tony Turner,"OT network segmentation projects rarely fail because of missing firewall features or lack of security tooling. They fail because industrial environments operate under constraints that traditional IT security programs do not fully account for: limited maintenance windows, fragile legacy systems, vendor-controlled...",ICS/OT Security
Creator Stage 5,Friday,3:00 PM,"Drones, Detectors, and the Kill Chain",Greg Albrecht,"Counter-Unmanned Aircraft Systems (C-UAS) is a domain spanning RF engineering, federal law, operational security, and public policy, and it's being built right now by people working without a complete picture. Most security practitioners and nearly all civilians don't know how drone detection works, what the legal...",Aerospace & Satellite Security
Creator Stage 6,Friday,3:00 PM,Cache Key Injection: Smuggling Poison Through the Door,Alex Brumen,"Cache poisoning research has long centred on unkeyed-input injection. The next cache poisoning vulnerability may not come from unkeyed input, but from what is mistakenly included in the cache key itself.",Bug Bounty / Vulnerability Research
Main Track 1,Friday,3:00 PM,"The Stream Is Dead, Long Live the Stream: How HTTP/2 Lets Dead Streams Keep Servers Working",Gal Bar Nahum,Modern protocol bugs rarely look like flaws in the protocol itself. They show up when a clean spec meets existing server architectures.,Web/Application Security
Main Track 3,Friday,3:00 PM,Data Tomb Raider: Raiding Modern AI Vaults with Legacy Flaws for Treasure Stealing,Dolev Taler; Mark Vaitsman,"Click a link, lose your MFA codes. Your AI assistant reads your email and exfiltrates the data through Bing, and you never notice.",AI/ML Security
Main Track 4,Friday,3:00 PM,Pwning Rekordbox: Unauthenticated filesystem access in the world's most popular DJ software,"Christopher ""TRIODE"" Le","First public disclosure. rekordbox, the world's most popular DJ software, silently runs an NFS server whenever you play over the network, and it shares your whole hard drive, not just your music. Any device on the same subnet can quietly read your SSH keys, passwords, and files.",Network Security
Main Track 5,Friday,3:00 PM,Hacking the Hackers who Hack Hackers: Supply-Chain Backdoors in Underground VPN Infrastructure,Assaf Morag,"Underground VPN and tunneling ecosystems are widely used to monetize compromised servers and sell ""free internet"" access through SSH, SOCKS, and multi-protocol tunnels. These operations rely heavily on open-source infrastructure management tools deployed on rented or hacked Linux servers.",Supply Chain Security
